timestamp,location,species,count
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Passer domesticus,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Picus sharpei,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Serinus serinus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Streptopelia decaocto,3
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Sturnus unicolor,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L12610652_37.96760_-0.72576_0,Turdus merula,3
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Alectoris rufa,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Anarhynchus alexandrinus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Apus apus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Ardea cinerea,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Charadrius hiaticula,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Chroicocephalus ridibundus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Columba palumbus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Curruca melanocephala,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Egretta garzetta,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Falco tinnunculus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Hirundo rustica,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Ichthyaetus melanocephalus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Larus fuscus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Larus michahellis,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Parus major,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Passer domesticus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Phoenicopterus roseus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Pluvialis squatarola,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Streptopelia decaocto,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L3906629_38.02382_-0.68343_0,Turdus merula,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Anarhynchus alexandrinus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Ardea cinerea,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Arenaria interpres,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Calidris alba,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Chroicocephalus genei,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Chroicocephalus ridibundus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Columba livia,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Columba palumbus,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Curruca iberiae,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Curruca melanocephala,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Falco tinnunculus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Galerida cristata,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Galerida theklae,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Ichthyaetus melanocephalus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Larus michahellis,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Muscicapa striata,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Myiopsitta monachus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Parus major,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Phalacrocorax carbo,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Phoenicurus phoenicurus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Picus sharpei,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Pluvialis squatarola,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Serinus serinus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Sylvia atricapilla,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Turdus merula,2
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Turdus viscivorus,1
10-09-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Upupa epops,2
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6121785_37.99449_-0.70833_0,Curruca communis,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6121785_37.99449_-0.70833_0,Curruca melanocephala,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6121785_37.99449_-0.70833_0,Linaria cannabina,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6121785_37.99449_-0.70833_0,Saxicola rubicola,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Acrocephalus scirpaceus,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Actitis hypoleucos,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Anarhynchus alexandrinus,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Ardea cinerea,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Calidris alba,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Columba palumbus,2
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Erithacus rubecula,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Myiopsitta monachus,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Phalacrocorax carbo,2
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Streptopelia decaocto,1
10-10-2024 00:01,jBAFzo8B1ljoqTiFuu2B_L6177434_38.02585_-0.66656_0,Turdus merula,1
